date,date_placed,league,home_team,away_team,home_win_%,draw_%,away_win_%,odds_home,odds_draw,odds_away,bet,de_normalized_risk,normalized_risk,ev
20/03/2025 18:00,2025-03-20 14:01:54.875009,NAT,Armenië,Georgië,0.23,0.22,0.53,3.75,3.35,2.06,away,30.18446601941748,1.76,0.0918000000000001
20/03/2025 20:45,2025-03-20 14:02:00.180837,NAT,Kroatië,Frankrijk,0.22,0.22,0.55,3.8,3.45,2.11,away,33.672985781990526,3.44,0.1604999999999999
20/03/2025 20:45,2025-03-20 14:02:05.444938,NAT,Denemarken,Portugal,0.26,0.23,0.49,3.45,3.4,2.26,away,26.43362831858407,1.81,0.1073999999999998
20/03/2025 20:45,2025-03-20 14:02:10.686099,NAT,Italië,Duitsland,0.26,0.23,0.49,2.85,3.25,2.7,away,30.111111111111104,6.19,0.323
20/03/2025 18:00,2025-03-20 14:05:23.405730,NAT,Turkije,Hongarije,0.5,0.24,0.26,1.8,3.55,4.75,away,8.0,0.800793,0.14
20/03/2025 20:45,2025-03-20 14:05:23.405730,NAT,Nederland,Spanje,0.29,0.24,0.47,3.25,3.35,2.35,away,23.021277,1.333266,0.081
20/03/2025 20:45,2025-03-20 14:05:23.405730,NAT,Oekraïne,België,0.32,0.25,0.43,4.75,3.55,1.79,home,17.684211,6.574932,0.52
22/03/2025 16:00,2025-03-20 14:04:20.306655,LET,Wimbledon,Barrow,0.58,0.21,0.2,2.05,3.15,3.75,home,37.512195121951216,4.04,0.1889999999999998
22/03/2025 16:00,2025-03-20 14:04:25.542109,LET,Bradford,Colchester,0.52,0.24,0.23,2.1,3.0,3.65,home,29.14285714285715,1.53,0.092
22/03/2025 16:00,2025-03-20 14:04:30.784590,LET,Carlisle,Bromley,0.33,0.25,0.4,2.25,3.25,3.0,away,20.000000000000007,2.28,0.2
22/03/2025 16:00,2025-03-20 14:04:57.255050,LET,Cheltenham,MK Dons,0.52,0.24,0.23,2.25,3.25,3.0,home,30.666666666666664,2.97,0.17
22/03/2025 16:00,2025-03-20 14:05:02.484887,LET,Chesterfield,Harrogate,0.52,0.24,0.23,1.59,3.75,5.25,away,8.333333333333332,0.99,0.2075
22/03/2025 16:00,2025-03-20 14:05:07.744570,LET,Fleetwood,Tranmere,0.61,0.2,0.18,1.95,3.4,3.65,home,41.0,4.43,0.1895
22/03/2025 16:00,2025-03-20 14:05:12.969134,LEO,Crawley,Bristol Rovers,0.38,0.26,0.34,2.05,3.4,3.25,away,13.692307692307695,0.82,0.1050000000000001
22/03/2025 16:00,2025-03-20 14:05:18.189610,LEO,Lincoln,Exeter,0.5,0.25,0.24,1.78,3.4,4.5,away,7.1111111111111125,0.32,0.0799999999999999
22/03/2025 16:00,2025-03-20 14:05:23.405730,LEO,Wrexham,Stockport,0.46,0.26,0.27,2.45,3.0,2.9,home,23.959183673469397,1.73,0.1270000000000001